127.0.0.1 - - [28/Nov/2016:12:03:30 +0530] "GET / HTTP/1.1" 404 1000
127.0.0.1 - - [28/Nov/2016:12:03:32 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 200 3117
127.0.0.1 - - [28/Nov/2016:12:03:32 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3390
127.0.0.1 - - [28/Nov/2016:12:03:35 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1577
127.0.0.1 - - [28/Nov/2016:12:03:35 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:44 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:44 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:45 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:52 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:52 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:03:52 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:02 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:02 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:02 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:09 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:09 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:09 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:04:14 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:09:41 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 200 3349
127.0.0.1 - - [28/Nov/2016:12:09:41 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3563
127.0.0.1 - - [28/Nov/2016:12:09:42 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1804
127.0.0.1 - - [28/Nov/2016:12:09:42 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:09:46 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:09:46 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:09:46 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:14:36 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:14:36 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:14:37 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:15:22 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:15:23 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:15:23 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1772
127.0.0.1 - - [28/Nov/2016:12:15:23 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:15:27 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:15:27 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:15:27 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1772
127.0.0.1 - - [28/Nov/2016:12:16:49 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2009
127.0.0.1 - - [28/Nov/2016:12:16:49 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:16:59 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:16:59 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:17:43 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:17:43 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
127.0.0.1 - - [28/Nov/2016:12:20:52 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:20:52 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:20:57 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:20:58 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
